articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
3-4-2015_PS,figure,1.0654166666666667,mean,NA,MATCH,TRUE
3-4-2015_PS,figure,1.0218666838335333,ci,NA,MATCH,TRUE
3-4-2015_PS,figure,1.1089666494998,ci,NA,MATCH,TRUE
3-4-2015_PS,figure,1,mean,NA,MATCH,TRUE
3-4-2015_PS,figure,0.93125,mean,NA,MATCH,TRUE
3-4-2015_PS,figure,0.8903752312326593,ci,NA,MATCH,TRUE
3-4-2015_PS,figure,0.9721247687673408,ci,NA,MATCH,TRUE
3-4-2015_PS,18.9,18.9,F,0,MATCH,NA
3-4-2015_PS,2,2,df,0,MATCH,NA
3-4-2015_PS,94,94,df,0,MATCH,NA
3-4-2015_PS,<.001,1.2567205328606377e-7,p,NA,MATCH,TRUE
3-4-2015_PS,0.29,0.29,pes,0,MATCH,NA
3-4-2015_PS,<.01,0.005921285935137112,p,NA,MATCH,TRUE
3-4-2015_PS,<.01,8.258825026422862e-6,p,NA,MATCH,TRUE
3-4-2015_PS,<.01,1.4348093510367033e-4,p,NA,MATCH,TRUE
3-4-2015_PS,6,6,mean,0,MATCH,NA
3-4-2015_PS,2,2,ci,0,MATCH,NA
3-4-2015_PS,11,10,ci,9.090909090909092,MINOR_ERROR,NA
3-4-2015_PS,7,8,mean,14.285714285714285,MAJOR_ERROR,NA
3-4-2015_PS,3,4,ci,33.33333333333333,MAJOR_ERROR,NA
3-4-2015_PS,11,11,ci,0,MATCH,NA
3-4-2015_PS,13,13,mean,0,MATCH,NA
